Epoch,Train MSE,Val MSE
1,0.10633269742042005,0.0829002374694461
2,0.08470487344764664,0.07868490119775136
3,0.08149179196107888,0.07787204888604936
4,0.07965084870239932,0.07716296861569087
5,0.07776234874468364,0.06955388010967345
6,0.07161065463177459,0.06463106047539484
7,0.06533271955426581,0.05276664435153916
8,0.05735597353495524,0.04784921148703212
9,0.05269837417377683,0.04500150911155201
10,0.048978372002968534,0.04445004640590577
11,0.04713526519829642,0.03943517573532604
12,0.04608216738986398,0.03704903168337686
13,0.04419138231231067,0.036128341796852294
14,0.04278346358569796,0.03699882239812896
15,0.043340091353761934,0.03582377909194855
16,0.040259117416725186,0.037628392733278726
17,0.03995434598562246,0.03446004362333389
18,0.039618739356359324,0.033586919928590454
19,0.038505936253392055,0.0334638295074304
20,0.0375413621391008,0.03324524650261516
21,0.03649773853580038,0.03368707648700192
22,0.03531599051491943,0.031494764965914544
23,0.034161307676109726,0.03033164241129444
24,0.033779978819057616,0.033041720234212424
25,0.033178197532267625,0.030292586201713198
26,0.032701258374723846,0.029397695369663693
27,0.03255968528637986,0.02983458402256171
28,0.0321987866351526,0.03246757104283288
29,0.03157058623647262,0.030668513583285466
30,0.0315004399682055,0.027833741690431322
31,0.03078200620136218,0.027354357231940542
32,0.031006190133933537,0.03212802662026314
33,0.032022216619399496,0.027830876321310087
34,0.03113708097465381,0.029974518343806267
35,0.0307012111015484,0.02945610268839768
36,0.030664224277981027,0.028055863366240545
37,0.029764198926751487,0.029303968218820437
38,0.027821958589250455,0.02898076442735536
39,0.027530005926678994,0.02841807919598761
40,0.027890882571924947,0.02799191130768685
41,0.027161390225062827,0.0281539959389539
42,0.02705531518259448,0.02774303486304624
43,0.02681614246643232,0.02634045641337122
44,0.02713321440457227,0.027634425088763237
45,0.026342731314951073,0.02706244561289038
46,0.026651231873178197,0.030140090112884838
47,0.026333848940219708,0.028251586925415767
48,0.0264274345342806,0.025857420992993173
49,0.02683893971502067,0.025132718274281138
50,0.027066426307052194,0.026437913644171897
51,0.02706098867702984,0.029914172543656258
52,0.02647912906047827,0.031132465228438377
53,0.026052503327945037,0.02684086277371361
54,0.02608336448044834,0.026038484381777898
55,0.026196435138493956,0.029642718178885325
56,0.02497518471927343,0.026852189430168698
57,0.024626954575766347,0.02527979699273904
58,0.02484342371096868,0.0254115763874281
59,0.024680869096142803,0.029085973455082802
60,0.024672428547532974,0.025240663793824968
61,0.024669115325647913,0.034844791516661644
62,0.024063988627787837,0.02704411390281859
63,0.02386278594414631,0.025901317773830323
64,0.023844344017212978,0.025908179581165314
65,0.023729102897965267,0.027239441073366573
66,0.023799077535193124,0.028020821955232394
67,0.023941294396084226,0.02717098088136741
68,0.02341855701036796,0.032280836963937395
69,0.023421464432142453,0.023077620548151788
70,0.023419810024028768,0.029890700553854305
71,0.023392274920008855,0.024740206077694893
72,0.02380269928695913,0.028602338529058864
73,0.02349848714015798,0.026588725990482738
74,0.023348541807628676,0.026701459661126137
75,0.023414355172903953,0.027990873903036118
76,0.023100072250305536,0.023937497199291273
77,0.02327927599053183,0.02919166987495763
78,0.02340849101944955,0.02703801134512538
79,0.02322409905404031,0.024284762374701955
80,0.02330270807766272,0.02694429714410078
81,0.023160434456285604,0.027897201478481293
82,0.02293930844052466,0.03116599204284804
83,0.022805156911204674,0.02611093143267291
84,0.022961556264561808,0.02669269573830423
85,0.023190728907367425,0.025519481815752528
86,0.022843854055700902,0.02514091001025268
87,0.022861504101913847,0.025687160147797494
88,0.02311577623386583,0.030160958479557718
89,0.022733946319691792,0.025177862140394393
90,0.02267516599577701,0.02669305930889788
91,0.022754281491576555,0.026609525616679872
92,0.023006214118913976,0.02428041673487141
93,0.022821639569665857,0.024048479628704843
94,0.022963026203884337,0.02815436917756285
95,0.023216184764029736,0.029398322460197267
96,0.0229033021323249,0.024329173866482007
97,0.02285505254602361,0.023548346545015062
98,0.0228231315149697,0.024422185140706244
99,0.022754071258053093,0.02855281735814753
100,0.02286358465423841,0.027564720738501775
101,0.02291645251861411,0.03279186173209122
102,0.022926572944500487,0.023998911891664778
103,0.022691681758015454,0.023863424857457478
104,0.02324423082395942,0.028657918263758932
105,0.022958763044126734,0.03177064488686267
106,0.022972676021877875,0.030669759870285078
107,0.022769711052853903,0.025304645477306275
108,0.02298151797609415,0.02801286739607652
109,0.022996865703674135,0.02389700577727386
110,0.022904250938110722,0.025487868292700677
111,0.022621111910857125,0.028724763719808487
112,0.022810092452400458,0.024658922106027603
113,0.022949254363329112,0.02412721026866209
114,0.022556563002799086,0.02895364404789039
115,0.02276977625101091,0.025434293651155064
116,0.022737758618941208,0.025743251400334493
117,0.02277843350778797,0.028235494380905515
118,0.022807037870505614,0.0264121601801543
119,0.022784161342386,0.024684982108218328
120,0.022992374152391255,0.027386173073734556
121,0.02283535817426122,0.02465176484769299
122,0.023068135169273366,0.025739148259162903
123,0.022756123591861323,0.02741849963508901
124,0.022914616826051722,0.027337960189297086
125,0.02285313040776524,0.026572546345137414
126,0.022876696058822248,0.029152039704578265
127,0.022924619743567028,0.027526748322305224
128,0.022974114943139567,0.03186602801794097
129,0.022915679548761086,0.026238014744151206
130,0.022661954465651227,0.025743946433067322
131,0.0229583097967559,0.034063260381420456
132,0.022826580620722143,0.02416407210486276
133,0.02289470579631314,0.03164980161402907
134,0.022841001922142005,0.028169301028052967
135,0.022896896969683157,0.024658741163355962
136,0.022944430558535154,0.027690525211039044
137,0.022701008724952173,0.026839189586185273
138,0.022812728987571723,0.030026496875853764
139,0.02279616649190109,0.024591403436802682
140,0.022635862320483088,0.02640976393151851
141,0.022727377389273242,0.025448053010872433
142,0.022936407320513698,0.0297318593199764
143,0.02301486461105461,0.025786855834580603
144,0.02315863473954315,0.02697490608053548
145,0.02289323022444091,0.028217313367696034
146,0.022813237913532885,0.026585188561252186
147,0.02281152678954744,0.024147627343024527
148,0.022720701568676328,0.026654045407970745
149,0.02272156012540092,0.029820946710450307
150,0.022878220605992986,0.024427578474084537
151,0.022556173609580822,0.024973617866635323
152,0.02278398618682059,0.02632386902613299
153,0.022849329540918686,0.028089336075243495
154,0.022762287263117152,0.024875156936191377
155,0.02275030001507191,0.024523521729168437
156,0.022652784669158346,0.02957767771468276
157,0.02272993380281918,0.024658624171501116
158,0.02276747603482472,0.030071970252763657
159,0.022983386198025264,0.030741608479902857
160,0.02294022627844068,0.02389262527936981
161,0.022766855718222206,0.026868369519000963
162,0.022981031903785146,0.028913676383949462
163,0.022917369034832824,0.025490223030958856
164,0.0230018282476478,0.029974106787925676
165,0.022764495936428715,0.027901765136491685
166,0.02286105196989939,0.026682912948585692
167,0.022951738853119092,0.026592555766304333
168,0.022765454272934776,0.03169588806728522
169,0.022836378580349648,0.024170849028797375
170,0.0229668921740826,0.026215740257785433
171,0.02270152582647558,0.025193638922203155
172,0.02284698830750174,0.026090878461088454
173,0.022786368342663,0.030240346633252643
174,0.022766893272271414,0.029194022040991557
175,0.02285836162993651,0.02324116185662292
176,0.022708421595349998,0.02543885668828374
177,0.02274149435455214,0.026873778019632612
178,0.022922977838598327,0.026224124733181225
179,0.022833489773873082,0.027954602347952977
180,0.022835110632066957,0.029410257492037045
181,0.022863424533676957,0.02364644585620789
182,0.022548790050748578,0.02465854017507462
183,0.022863846372612222,0.029412159962313517
184,0.022750554316325815,0.024791975638696125
185,0.022748387156578596,0.02374768035397643
186,0.022907801005922393,0.025277274261627878
187,0.022781735676491333,0.0221127722234953
188,0.02283192693651793,0.029757798338929813
189,0.02291167556436476,0.026301297669609387
190,0.022811694416457307,0.026360641011879557
191,0.022680188635152258,0.0253785853939397
192,0.022735962209230413,0.025273650352443968
193,0.022746819199737676,0.02631174462536971
194,0.022836539749346095,0.026046491893274442
195,0.022831051348301466,0.029412747493812015
196,0.022885917758424124,0.025884488952301797
197,0.022739566126447952,0.027894779418905575
198,0.022716952164372996,0.027267434235130037
199,0.022883001112652394,0.02497482636854762
200,0.02270758271351189,0.027568570382538297
201,0.022685935843490556,0.026742551209671155
202,0.022726510857750556,0.026497272242392813
203,0.022760099525044777,0.026423151649179914
204,0.022717824172295495,0.02536078959348656
205,0.022799754671440152,0.0240631556759278
206,0.023113126269803788,0.02456017823091575
207,0.022739430331809078,0.02767421899452096
208,0.02267106644764632,0.027311458030626887
209,0.022935212784987724,0.02774758716779096
